id,text,xlit,plaintext
1.1,+410-017+,ra-sa,sara
2.1,+410-017+,ra-sa,sara
3.1,+405-017+,ra-sa,sara
4.1,+220-000+,ma-.,.ma
5.1,+740-235+,an-maa,maaan
6.1,+740-390-590+,an-ra-va,varaan
7.1,+368-390-125-033+,na-ra-daa-ja,jadaarana
8.1,+740-904-033-705-235+,an-aa-j-an-maa,maaanjaaan
9.1,+740-017-495-235-741-066+,an-sa-aa-ma-an-ga,gaanmaaasaan
10.1,+156-460-510+,ya-da-u,udaya
11.1,+072-170-740-840-013+,ma-adaa-an-da-ta,tadaanadaama
12.1,+740-142-000/000-388-000+,an-aa-.-.-va-.,.va..aaan
13.1,+740-440-503-002-861-000+,an-pa-aa-v-ra-.,.ravaapaan
14.1,]000-004-455+,.a-ca-sa,saca.a
15.1,]000-415+,.a-ta,ta.a
16.1,+390-415+,ra-ta,tara
17.1,+390-034+,ra-ca,cara
18.1,+405-844-032-840-002-861+,ra-da-sa-da-va-ra,ravadasadara
19.1,+226-003-002-297-350-125-413+,nmna-ja-va-la-ca-daa-i,idaacalavajanmna
20.1,+390-717-061-002-368-634+,ra-da-ta-va-na-ta,tanavatadara
21.1,+000-388-233-000-000+,.a-va-ma-.-.,..mava.a
22.1,+527-554-298-368-634+,ma-as-la-na-ta,tanalaasma
23.1,+750-798+,an-as,asan
24.1,+415+,ta,ta
25.1,+000+,.a,.a
26.1,+520-001+,na-aa,aana
27.1,+090-740-220-002-368-550-821+,aa-an-ma-va-na-as-rara,raraasnavamaanaa
28.1,+220-014+,ma-sa,sama
29.1,+740-797+,an-as,asan
30.1,+002-817+,va-ra,rava
31.1,+002-817+,va-ra,rava
32.1,+740-061+,an-ta,taan
33.1,+390-004+,ra-ca,cara
34.1,+007+,sa,sa
35.1,+411+,ra,ra
36.1,+002-817+,va-ra,rava
37.1,+236-002-308-090+,naaman-va-la-aa,aalavanaaman
38.1,]000-002-861+,.a-va-ra,rava.a
39.1,+740-803+,an-sa,saan
40.1,+426-003-060-692+,ya-ja-ma-ka,kamajaya
41.1,+520-220-002[,na-ma-va,vamana
42.1,]906-090-000-158-900-380-484-900+,ja-aa-.-ya-aa-b-aa-a,aaabaaya.aaja
43.1,+000-000/000-031-700+,.a-.-.-aa-an,anaa...a
44.1,+374-308-350+,ta-la-ca,calata
45.1,+748[,an,an
46.1,+740-000[,an-.,.an
47.1,+234+,nmna,nmna
48.1,+700-000+,an-.,.an
49.1,+000-000-000+,.a-.-.,...a
50.1,+390-003-003+,ra-ja-ja,jajara
51.1,+006+,sa,sa
52.1,+236-002-820+,naaman-va-ra,ravanaaman
53.1,+220-000-740-550-705+,ma-.-an-as-an,anasan.ma
54.1,+740-050-705+,an-asaa-an,anasaaan
55.1,+000-000-492[,.a-.-aa,aa..a
56.1,+031-705-167+,aa-an-va,vaanaa
57.1,+740-405+,an-ra,raan
58.1,+740-386+,an-ba,baan
59.1,+679+,aka,aka
60.1,+892-700+,da-an,anda
61.1,+390-003-002-817+,ra-ja-va-ra,ravajara
62.1,+000-100-240-220-032-002-861+,.a-aa-m-ma-sa-va-ra,ravasamamaa.a
63.1,]000-220-838-033-705-240+,.a-ma-sa-ja-an-ma,maanjasama.a
64.1,+842-032-031-592-031-060-920+,nadan-sa-aa-navana-aa-m-da,damaanavanaaasanadan
65.1,+740-482-235+,an-sa-maa,maasaan
66.1,+390-844-060-575-717+,ra-da-ma-ma-da,damamadara
67.1,+740-531-060-692+,an-as-ma-ka,kamaasan
68.1,+740-067-741-647-892+,an-ma-an-sa-da,dasaanmaan
69.1,+740-176-032-002-861+,an-sa-sa-va-ra,ravasasaan
70.1,+032-031/151-740-240-235+,sa-aa-y-an-ma-maa,maamaanyaasa
71.1,+032-031/740-222-235-002-861+,sa-aa-an-namaa-maa-va-ra,ravamaanamaaanaasa
72.1,+032-031/850-032-530-740-741-456+,sa-aa-r-sa-as-an-an-as,asananassaraasa
73.1,+032-031/740-791-713+,sa-aa-an-da-annaa,annaadaanaasa
74.1,+032-031/740-222-235-002-861+,sa-aa-an-namaa-maa-va-ra,ravamaanamaaanaasa
75.1,+032/226-032-817+,sa-nmna-sa-ra,rasanmnasa
76.1,+125-002-861+,daa-va-ra,ravadaa
77.1,+151-740-100-240+,ya-an-aa-m,maaanya
78.1,+000-000-000/000-861-002-906-003+,.a-.-.-.-ra-va-ja-ja,jajavara....a
79.1,+001-368-767+,aa-n-tara,taranaa
80.1,+526-388+,ma-va,vama
81.1,+740-636-240/002-817+,an-ta-ma-va-ra,ravamataan
82.1,+740-032-840-002-296-530-000+,an-sa-da-va-la-as-.,.aslavadasaan
